[Thu Aug 14 10:32:42 2025] ENetServer.cpp:14:ENetServer::ENetServer | New ENetServer created 0.0.0.0:17090
[Thu Aug 14 10:32:53 2025] ENetServer.cpp:14:ENetServer::ENetServer | New ENetServer created 0.0.0.0:17090
[Thu Aug 14 10:32:59 2025] ENetServer.cpp:14:ENetServer::ENetServer | New ENetServer created 0.0.0.0:17090
[Thu Aug 14 10:33:03 2025] ENetServer.cpp:14:ENetServer::ENetServer | New ENetServer created 0.0.0.0:17090
[Thu Aug 14 10:33:25 2025] ENetServer.cpp:58:ENetServer::service::<lambda_1>::operator () | [0.0.0.0:17090] Peer with 103.51.205.190:33911 connected to server.
[Thu Aug 14 10:33:30 2025] ENetServer.cpp:102:ENetServer::service::<lambda_1>::operator () | [0.0.0.0:17090] Packet 2 receive from Peer 103.51.205.190:33911 >> protocol|216
ltoken|X3Rva2VuPXsidGFua0lETmFtZSI6IiIsInRhbmtJRFBhc3MiOiIiLCJyZXF1ZXN0ZWROYW1lIjoiIiwiZiI6IjEiLCJwcm90b2NvbCI6IjIxNiIsImdhbWVfdmVyc2lvbiI6IjUuMjUiLCJjYml0cyI6IjEwMjQiLCJwbGF5ZXJfYWdlIjoiMjUiLCJHRFBSIjoiMSIsImNhdGVnb3J5IjoiXy01MTAwIiwidG90YWxQbGF5dGltZSI6IjAiLCJrbHYiOiI3QkQ0MUNDREQ2OUVBMTkxMjM4RDkzNjRBMjA3RkVGQSIsImdpZCI6ImNhM2JjZDhiLWViMzAtNDA1Yy05NDczLWZkZTI3NTM0M2QyMyIsInRyIjoiNDMyMiIsIm1ldGEiOiJtZXJjaGFudD1hZG1pbiZrZXk9bmFnYXdpYnUiLCJmaGFzaCI6Ii03MTY5MjgwMDQiLCJyaWQiOiIwMjNDRTFGQjA0MkY2NkJEMDUwQzJDMTRDRUUzNDA2QSIsInBsYXRmb3JtSUQiOiI0IiwiZGV2aWNlVmVyc2lvbiI6IjAiLCJjb3VudHJ5IjoiaWQiLCJoYXNoIjoiLTg3MzE1MzA0OCIsIm1hYyI6IjAyOjAwOjAwOjAwOjAwOjAwIiwid2siOiJOT05FMCJ9Jl9zZXNzaW9uPU1UYzFOVEU1TWpnd05RLmxjQUlacURGZkFTQkltYUpRNHU1QldFb3NtUW43U1hrWUxPai1UUVpkdGMmbWVyY2hhbnRfbmFtZT1PeHlnZW4gSG9zdGluZyZncm93SWQ9JnBhc3N3b3JkPQ==
platformID|4

[Thu Aug 14 10:33:31 2025] ENetServer.cpp:119:ENetServer::service::<lambda_1>::operator () | [0.0.0.0:17090] Player with 103.51.205.190:33911 disconnected from server.
[Thu Aug 14 10:33:31 2025] ENetServer.cpp:58:ENetServer::service::<lambda_1>::operator () | [0.0.0.0:17090] Peer with 103.51.205.190:38991 connected to server.
